Time_s,BaselineRelativeSpeed_rad_s,resistor_RelativeSpeed_rad_s,distal_RelativeSpeed_rad_s,motorwheel_RelativeSpeed_rad_s,oildamper_RelativeSpeed_rad_s
0.309,-0.232594315744083,-0.145715615191125,0.0160412080495687,0.0181924741139241,-0.0541919824903942
0.30925,-0.232349758576585,-0.14555701822091,0.0179268895412248,0.0161717323006125,-0.0542962439614298
0.3095,-0.232087364620873,-0.145387191852218,0.0198065889751513,0.0140531435866331,-0.0543965312519355
0.30975,-0.231807164760716,-0.145206155330955,0.0216798647207121,0.0118499231581957,-0.0544928482933635
0.31,-0.231509191290918,-0.145013928792708,0.0235462769560337,0.00957578153566874,-0.0545851992844103
0.31025,-0.231193477913925,-0.144810533260679,0.0254053877711073,0.00724483932120346,-0.0546735886899555
0.3105,-0.230860059736331,-0.144595990643546,0.0272567612703658,0.00487153958653019,-0.054758021239986
0.31075,-0.230508973265265,-0.144370323733247,0.0290999636747236,0.00247055844415223,-0.0548385019285046
0.311,-0.230140256404665,-0.144133556202704,0.0309345634230418,5.67143553422689e-05,-0.0549150360124233
0.31125,-0.229753948451458,-0.143885712603469,0.0327601312730073,-0.00235512326497744,-0.0549876290104414
0.3115,-0.229350090091607,-0.143626818363312,0.0345762404013907,-0.00475012558309351,-0.0550562867019084
0.31175,-0.228928723396072,-0.143356899783722,0.036382466503674,-0.00711359545795776,-0.0551210151256729
0.312,-0.228489891816642,-0.143075984037362,0.0381783878930109,-0.00943105756976093,-0.0551818205789146
0.31225,-0.228033640181678,-0.142784099165432,0.0399635855985019,-0.0116883470132556,-0.0552387096159648
0.3125,-0.227560014691728,-0.142481274074984,0.0417376434627648,-0.0138716958139387,-0.0552916890471086
0.31275,-0.227069062915054,-0.142167538536155,0.0435001482387753,-0.0159678168390347,-0.0553407659373765
0.313,-0.226560833783032,-0.141842923179336,0.0452506896859517,-0.0179639845921995,-0.0553859476053182
0.31325,-0.226035377585468,-0.141507459492279,0.0469888606654698,-0.0198481124010494,-0.0554272416217649
0.3135,-0.225492745965781,-0.141161179817128,0.0487142572347703,-0.0216088255296887,-0.055464655808576
0.31375,-0.224932991916106,-0.140804117347391,0.0504264787412643,-0.0232355297743914,-0.0554981982373725
0.314,-0.224356169772275,-0.140436306124835,0.0521251279151818,-0.0247184751291827,-0.0555278772282565
0.31425,-0.223762335208697,-0.14005778103633,0.0538098109615652,-0.0260488141391857,-0.0555537013485173
0.3145,-0.223151545233138,-0.139668577810609,0.055480137651382,-0.0272186545929811,-0.055575679411323
0.31475,-0.222523858181389,-0.139268733014974,0.0571357214117265,-0.0282211062407094,-0.0555938204743998
0.315,-0.221879333711836,-0.138858284051936,0.0587761794151014,-0.0290503212619617,-0.0556081338386979
0.31525,-0.221218032799933,-0.138437269155782,0.0604011326677543,-0.0297015282464983,-0.0556186290470433
0.3155,-0.220540017732552,-0.138005727389085,0.062010206097042,-0.0301710594911309,-0.055625315882778
