Side,WheelDiameter_mm,ShaftDiameter_mm,Resonance_Hz,PeakReduction_pct,CostReduction_pct,RelativeSpeedReduction_pct
drive,110,6.35,29.4573575647866,49.1579648442261,28.9720508184589,52.318118017678
load,160,3.18,4.97720873314286,37.2455665470456,33.9386507023757,-13.5713160355292
load,160,4,7.89544728644634,37.4635103618012,34.3299599497324,25.4455501569528
load,160,4.5,9.9991578313396,37.517771655088,34.4271660958229,40.6851595962708
load,160,4.76,11.1903922179839,37.5358970580439,34.4594845082568,46.7529084950457
load,160,5,12.3491636478505,37.5487425674837,34.4824024471718,51.281028457128
load,160,5.5,14.9458202714694,37.5674596155734,34.5158331258089,59.7456695812801
load,160,6.35,19.926581454099,37.5850828846085,34.5472706433716,69.6076788989027
load,165,3.18,4.87309338872134,43.4377004052519,39.8520243973079,-16.5865120804313
load,165,4,7.73172022589495,43.6437728850724,40.2288855132338,24.2838051659558
load,165,4.5,9.79221823475516,43.6950572012453,40.3222611442538,39.4639899679123
load,165,4.76,10.95900483314,43.7121865031601,40.3535131804207,45.635554320053
load,165,5,12.0939221116558,43.7243252792313,40.3754744237489,50.3009770372964
load,165,5.5,14.6371468375287,43.7420116790631,40.4076558823043,58.7123847107938
load,165,6.35,19.5153279481662,43.7586636944255,40.4378913888396,69.0287864946327
load,170,3.18,4.78175775714508,48.9890312668777,45.2430185469089,-17.9589961440976
load,170,4,7.58815973217586,49.1828501274852,45.60361717638,22.5493331086405
load,170,4.5,9.61082925581146,49.2310655863764,45.6929302245025,38.0051231978673
load,170,4.76,10.7561373941101,49.2471680962043,45.7227174606692,44.6544978677679
load,170,5,11.870211297488,49.2585788796025,45.7438574138638,49.3880620760008
load,170,5.5,14.3665841479323,49.2752037111278,45.7745461817781,57.9040306652142
load,170,6.35,19.1548527748838,49.2908553943548,45.8034162321064,68.3278371958782
load,175,3.18,4.7014505972043,53.9517477502541,50.1400891055016,-19.8706664842777
load,175,4,7.46200167083002,54.1332949331849,50.4833116230196,21.6362250866358
load,175,4.5,9.45142838822334,54.1784405440307,50.5682068986351,37.3373462286775
load,175,4.76,10.5779133390201,54.1935163387902,50.5966147349591,43.5378722017049
load,175,5,11.6735999645195,54.204198969732,50.6165782314808,48.757149110735
load,175,5.5,14.128840596724,54.2197624105026,50.645788700394,57.2377276140752
load,175,6.35,18.8381559546841,54.2344139712668,50.673292039524,67.7468841135578
load,180,3.18,4.6306792668734,58.3811283960153,54.5770569493292,-22.199225227884
load,180,4,7.35088315601712,58.5506470595161,54.9023227246975,20.1119942538763
load,180,4.5,9.31104390469836,58.5927862526302,54.9826642682245,36.3029329287981
load,180,4.76,10.4209093821826,58.6068567386908,55.0094726936468,42.8134332295407
load,180,5,11.5004861028061,58.6168267217193,55.0285037578385,48.0402445973622
load,180,5.5,13.9194923604065,58.6313511569287,55.056118292988,56.770565510763
load,180,6.35,18.5592338502336,58.6450241448685,55.0820881171868,67.359136256781
load,185,3.18,4.56816220876097,62.3317301344914,58.5900475532501,-23.6038527395833
