Parameter,Factor,ResonanceHz,PeakReduction_pct,MovingCostReduction_pct,FixedCostReduction_pct,PulseReduction_pct,DCGainRatio
Ls,2,4.01199120256294,-0.417861930840968,-0.693478419061622,89.4908004011789,-36.6406852099878,1
Ls,3,3.26635177943571,-0.837551516345192,-1.39424267583008,94.834899229052,-63.0749930774899,1
Ls,4,2.82056941765279,-1.25906145400856,-2.10257905405737,96.5690350367824,-85.5789930489628,1
Ls,6,2.28961608598652,-2.10751088085068,-3.54194035376878,97.9405106076684,-117.946247649699,1
Ls,8,1.97125850298031,-2.96314045686885,-5.01206781288912,98.5226497411376,-144.50534549986,1
Df,0.25,66.670574824416,-47.7044387815115,-134.231299582692,-127.755782149993,-204.238530743655,0.999999999999982
Df,0.4,30.8770626650219,-33.7911908043071,-111.832520385768,-95.4332244281623,-245.157563394774,0.999999999999982
Df,0.5,21.1796455540387,-16.0738763352916,-82.8592953584093,-34.9916546763787,-186.609926170477,1
Df,0.6,15.24940735502,-7.6875244535064,-66.810780752046,17.468252936661,-129.3781428233,1
Df,0.7,11.4085512295914,-3.72412629648509,-53.6842390914023,46.3717215832404,-82.7960421930515,1
Df,0.8,8.81764301915561,-1.71861944807421,-37.9261646992112,58.841685135577,-47.3947010040046,1
Df,1,5.69013197069411,0,0,0,0,1
Df,1.2,3.96354781437488,0.626541383379331,32.2454529718182,95.2019271358076,28.3883289757592,1
Df,1.5,2.54097503587573,0.973172523933652,62.0152793310276,99.4936272810921,53.0332892650603,1
Df,2,1.43045928329847,1.13807653871766,83.581165893754,99.9568177014735,63.2107732986166,1
Df,3,0.63595058371323,1.19943350989414,95.0672710896243,99.9984027555946,76.5371362339454,1
Df,4,0.357724781998475,1.2359418484255,97.362874119645,99.9998414819232,86.7152322320479,1
Df,6,0.159009991827046,1.50687077155175,99.3463301850799,99.9999938347276,94.4436060503805,1
Df,8,NaN,99.9999988974798,99.9999993831098,99.9999993831098,96.8992943280351,1
rho,0.25,11.190267358092,-3.53453755424449,-52.6836600724175,47.7195357602148,-80.0068282639763,1
rho,0.4,8.91989204274044,-1.78768372482425,-38.7530361139192,58.5506456924593,-48.8407531442361,1
rho,0.5,8.00075081455004,-1.19633155899708,-30.5010375920735,59.9988477718269,-35.5066938671737,1
rho,0.6,7.31758069123264,-0.79957397748831,-23.0396280030532,58.0308399660353,-25.3444540266563,1
rho,0.7,6.7840761927007,-0.514939488438126,-16.3290921030611,51.1999919157814,-17.1440593911275,1
rho,0.8,6.35248246007478,-0.300787154593829,-10.303119714764,32.724711003457,-10.8720101104251,1
rho,1,5.69013197069411,0,0,0,0,1
rho,1.2,5.19942255193921,0.201156468910557,8.43276988527031,41.3639780319879,7.89836078557271,1
rho,1.5,4.65507608754287,0.402817852166726,18.5169400964627,84.8579494833481,14.027604561281,1
rho,2,4.03539179889686,0.604984723549828,30.7801216917183,94.6425462339471,27.1755288621909,1
rho,3,3.29815312094638,0.807656530827905,46.098180328616,98.250078851188,39.7749058875799,1
rho,4,2.85770416680866,0.909182319949886,55.3881409286232,99.1298550090837,31.2716262386101,0.999999999999999
rho,6,2.33447136493185,1.01083361198696,66.2711495301665,99.653316862833,42.9593865778534,1
rho,8,2.02221175137381,1.06171079884987,72.5463713798445,99.8145680531517,62.3105094890302,1
