Time_s,BaselineMotor_rad_s,BaselineDistal_rad_s,BaselineRipple_rad_s,Rm_Ripple_rad_s,Km_Ripple_rad_s,Bs_Ripple_rad_s,Bm_Ripple_rad_s
1.496,3.34964831671777,3.36168639768106,0.00605618387884554,0.00465139460607888,0.00459631919746029,0.000685429313119101,-6.7654292147945e-06
1.497,3.34921519890676,3.3632979389061,0.00708482217506523,0.00538569921819398,0.00534075539865864,0.000684371785685922,-8.18193171858717e-06
1.498,3.34879312546866,3.36489953978777,0.00810290336498243,0.00611221166262643,0.00607756322909614,0.000683315891898406,-9.57353226310742e-06
1.499,3.34838334672056,3.36648990047724,0.00910914449712275,0.00683001514665538,0.00680581076606179,0.000682261629270542,-1.09389126521919e-05
1.5,3.34798709325452,3.36806773734971,0.0101022807054534,0.0075382059226845,0.00752457881198243,0.000681208995316318,-1.2276799141453e-05
1.501,3.34760557440591,3.36963178461544,0.0110810667904433,0.0082358944208254,0.00823296205016577,0.000680157987550167,-1.35859634074476e-05
1.502,3.34723997675247,3.37118079590433,0.0120442787713428,0.00892220636098351,0.00893007018057546,0.000679108603486078,-1.4865223453786e-05
1.503,3.3468914626459,3.37271354582202,0.0129907154077369,0.00959628384305944,0.0096150290342174,0.000678060840639816,-1.6113444454624e-05
1.504,3.3465611687779,3.37422883147547,0.0139191996884969,0.0102572864139097,0.0102869816647497,0.000677014696526701,-1.73295395346496e-05
1.505,3.34625020478233,3.37572547396639,0.0148285802862995,0.0109043921097567,0.0109450894159444,0.000675970168662499,-1.85124704860651e-05
1.506,3.34595965187516,3.37720231985037,0.0157177329759244,0.0115367984727386,0.0115885329636991,0.000674927254564306,-1.96612484216763e-05
1.507,3.34569056153407,3.37865824256018,0.0165855620145852,0.0121537235403766,0.0122165133312881,0.00067388595174922,-2.07749343646424e-05
1.508,3.34544395421902,3.38009214379133,0.0174310014826209,0.0127544068067236,0.0128282528766119,0.000672846257735671,-2.18526397745e-05
1.509,3.34522081813558,3.38150295484826,0.018253016582912,0.0133381101540264,0.0134229962502261,0.000671808170041199,-2.2893527010015e-05
1.51,3.34502210804238,3.3828896379495,0.0190506048974513,0.0139041187537683,0.0140000113229757,0.000670771686187788,-2.38968097285297e-05
1.511,3.34484874410417,3.38425118749032,0.0198227975995486,0.0144517419360035,0.0145585900821033,0.000669736803693866,-2.48617532221385e-05
1.512,3.34470161079176,3.38558663126111,0.0205686606202264,0.0149803140259142,0.0150980494947373,0.000668703520081859,-2.57876746913022e-05
1.513,3.3445815558303,3.38689503162034,0.0212872957674026,0.0154891951466118,0.0156177323377138,0.000667671832875971,-2.66739434562346e-05
1.514,3.34448938919702,3.38817548662041,0.0219778417965402,0.0159777719871945,0.0161170079927309,0.000666641739598184,-2.75199811061722e-05
1.515,3.34442588216963,3.38942713108527,0.0226394754314971,0.0164454585351712,0.0165952732058789,0.00066561323777492,-2.83252615871366e-05
1.516,3.34439176642648,3.39064913763841,0.0232714123343793,0.0168916967723614,0.0170519528106396,0.000664586324933047,-2.90893112290802e-05
1.517,3.3443877331996,3.39184071768001,0.023872908023272,0.0173159573334734,0.0174865004134959,0.000663560998598989,-2.98117087125238e-05
1.518,3.34441443248143,3.39300112231229,0.0244432587367855,0.0177177401265811,0.0178983990413353,0.000662537256303608,-3.04920849765189e-05
1.519,3.34447247228626,3.39412964321165,0.024981802244433,0.0180965749147859,0.0182871617498974,0.000661515095576881,-3.11301230662142e-05
1.52,3.34456241796721,3.39522561344702,0.0254879186019155,0.0184520218583915,0.0186523321925525,0.000660494513952781,-3.17255579245779e-05
1.521,3.34468479158938,3.39628840824313,0.0259610308504783,0.0187836720169807,0.0189934851487528,0.000659475508964835,-3.22781761252222e-05
1.522,3.34484007135997,3.39731744568804,0.0264006056595671,0.01909114781084,0.0193102270115579,0.000658458078149238,-3.27878155501615e-05
